Processed,Method,URI,Flags
true,GET,http://demo.testfire.net,Seed
true,GET,http://demo.testfire.net/robots.txt,Seed
true,GET,http://demo.testfire.net/sitemap.xml,Seed
true,GET,http://demo.testfire.net/index.jsp,
true,GET,http://demo.testfire.net/login.jsp,
true,GET,http://demo.testfire.net/index.jsp?content=inside_contact.htm,
true,GET,http://demo.testfire.net/feedback.jsp,
true,GET,http://demo.testfire.net/index.jsp?content=personal.htm,
true,GET,http://demo.testfire.net/index.jsp?content=business.htm,
true,GET,http://demo.testfire.net/index.jsp?content=inside.htm,
true,GET,http://demo.testfire.net/index.jsp?content=personal_deposit.htm,
true,GET,http://demo.testfire.net/index.jsp?content=personal_loans.htm,
true,GET,http://demo.testfire.net/index.jsp?content=personal_checking.htm,
true,GET,http://demo.testfire.net/index.jsp?content=personal_cards.htm,
true,GET,http://demo.testfire.net/index.jsp?content=personal_investments.htm,
true,GET,http://demo.testfire.net/index.jsp?content=personal_other.htm,
true,GET,http://demo.testfire.net/index.jsp?content=business_deposit.htm,
true,GET,http://demo.testfire.net/index.jsp?content=business_lending.htm,
true,GET,http://demo.testfire.net/index.jsp?content=business_cards.htm,
true,GET,http://demo.testfire.net/index.jsp?content=business_insurance.htm,
true,GET,http://demo.testfire.net/index.jsp?content=business_retirement.htm,
true,GET,http://demo.testfire.net/index.jsp?content=business_other.htm,
true,GET,http://demo.testfire.net/index.jsp?content=inside_about.htm,
true,GET,http://demo.testfire.net/cgi.exe,
true,GET,http://demo.testfire.net/index.jsp?content=inside_investor.htm,
true,GET,http://demo.testfire.net/index.jsp?content=inside_press.htm,
true,GET,http://demo.testfire.net/index.jsp?content=inside_careers.htm,
true,GET,http://demo.testfire.net/subscribe.jsp,
true,GET,http://demo.testfire.net/index.jsp?content=personal_savings.htm,
true,GET,http://demo.testfire.net/index.jsp?content=privacy.htm,
true,GET,http://demo.testfire.net/default.jsp?content=security.htm,
true,GET,http://demo.testfire.net/index.jsp?content=security.htm,
true,GET,http://demo.testfire.net/survey_questions.jsp,
true,GET,http://demo.testfire.net/status_check.jsp,
true,GET,http://demo.testfire.net/swagger/index.html,
false,GET,https://github.com/AppSecDev/AltoroJ/,Out of Scope
false,GET,https://www.hcl-software.com/appscan/,Out of Scope
true,GET,http://demo.testfire.net/style.css,
true,GET,http://demo.testfire.net/images/logo.gif,
true,GET,http://demo.testfire.net/images/header_pic.jpg,
true,GET,http://demo.testfire.net/images/pf_lock.gif,
true,GET,http://demo.testfire.net/images/home1.jpg,
true,GET,http://demo.testfire.net/images/home2.jpg,
true,GET,http://demo.testfire.net/images/home3.jpg,
false,GET,http://www.w3.org/TR/xhtml1/DTD/xhtml1-transitional.dtd,Out of Scope
true,GET,http://demo.testfire.net/search.jsp?query=ZAP,
true,POST,http://demo.testfire.net/doLogin,
false,GET,http://demo-analytics.testfire.net/urchin.js,Out of Scope
true,GET,http://demo.testfire.net/images/p_investments.jpg,
true,GET,http://demo.testfire.net/disclaimer.htm?url=http://www.netscape.com,
true,GET,http://demo.testfire.net/disclaimer.htm?url=http://www.microsoft.com,
true,GET,http://demo.testfire.net/retirement.htm,
true,GET,http://demo.testfire.net/index.jsp?content=inside_executives.htm,
true,GET,http://demo.testfire.net/subscribe.swf,
true,GET,http://demo.testfire.net/index.jsp?content=inside_community.htm,
true,GET,http://demo.testfire.net/images/b_lending.jpg,
true,GET,http://demo.testfire.net/images/p_cards.jpg,
true,GET,http://demo.testfire.net/images/b_other.jpg,
true,POST,http://demo.testfire.net/sendFeedback,
true,GET,http://demo.testfire.net/images/b_cards.jpg,
true,GET,http://demo.testfire.net/admin/clients.xls,
true,GET,http://demo.testfire.net/images/inside3.jpg,
true,GET,http://demo.testfire.net/pr/communityannualreport.pdf,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/grouplife.htm,
true,GET,http://demo.testfire.net/images/p_loans.jpg,
true,GET,http://demo.testfire.net/images/b_main.jpg,
true,GET,http://demo.testfire.net/images/p_other.jpg,
true,GET,http://demo.testfire.net/images/p_main.jpg,
true,GET,http://demo.testfire.net/images/b_insurance.jpg,
true,GET,http://demo.testfire.net/images/p_checking.jpg,
false,GET,http://fpdownload.macromedia.com/pub/shockwave/cabs/flash/swflash.cab,Out of Scope
true,GET,http://demo.testfire.net/sameDomain,
true,GET,http://demo.testfire.net/high_yield_investments.htm,
false,GET,http://www.newspapersyndications.tv/,Out of Scope
true,GET,http://demo.testfire.net/inside_points_of_interest.htm,
true,GET,http://demo.testfire.net/images/inside1.jpg,
true,GET,http://demo.testfire.net/high,
true,GET,http://demo.testfire.net/images/p_deposit.jpg,
true,GET,http://demo.testfire.net/images/inside5.jpg,
true,GET,http://demo.testfire.net/images/inside6.jpg,
true,GET,http://demo.testfire.net/images/b_deposit.jpg,
true,GET,http://demo.testfire.net/index.jsp?content=inside_jobs.htm,
true,GET,http://demo.testfire.net/index.jsp?content=inside_benefits.htm,
true,GET,http://demo.testfire.net/index.jsp?content=inside_internships.htm,
true,GET,http://demo.testfire.net/index.jsp?content=inside_trainee.htm,
true,GET,http://demo.testfire.net/index.jsp?content=pr/20061109.htm,
true,GET,http://demo.testfire.net/Privacypolicy.jsp?sec=Careers&template=US,
true,GET,http://demo.testfire.net/index.jsp?content=pr/20061005.htm,
true,GET,http://demo.testfire.net/index.jsp?content=pr/20060928.htm,
true,GET,http://demo.testfire.net/index.jsp?content=pr/20060921.htm,
true,GET,http://demo.testfire.net/index.jsp?content=pr/20060817.htm,
true,GET,http://demo.testfire.net/images/inside4.jpg,
true,GET,http://demo.testfire.net/index.jsp?content=pr/20060720.htm,
true,GET,http://demo.testfire.net/index.jsp?content=pr/20060518.htm,
true,GET,http://demo.testfire.net/index.jsp?content=pr/20060413.htm,
true,GET,http://demo.testfire.net/images/inside7.jpg,
true,GET,http://demo.testfire.net/static/personal_savings.htm,
true,POST,http://demo.testfire.net/doSubscribe,
false,GET,http://www.cert.org/,Out of Scope
true,GET,http://demo.testfire.net/images/icon_top.gif,
true,GET,http://demo.testfire.net/swagger/swagger-ui.css,
true,GET,http://demo.testfire.net/swagger/favicon-32x32.png,
true,GET,http://demo.testfire.net/swagger/favicon-16x16.png,
true,GET,http://demo.testfire.net/swagger/swagger-ui-bundle.js,
true,GET,http://demo.testfire.net/swagger/swagger-ui-standalone-preset.js,
true,GET,http://demo.testfire.net/survey_questions.jsp?step=a,
true,GET,http://demo.testfire.net/images/ok.gif,
true,GET,http://demo.testfire.net/images/b_retirement.jpg,
true,GET,http://demo.testfire.net/images/cancel.gif,
true,GET,http://demo.testfire.net/index.jsp?content=inside_volunteering.htm,
false,GET,http://www.adobe.com/products/acrobat/readstep2.html,Out of Scope
true,GET,http://demo.testfire.net/images/adobe.gif,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_deposit.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_checking.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_loans.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_cards.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_investments.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=personal_other.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_deposit.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_lending.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_cards.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_insurance.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_retirement.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=business_other.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside.htm,
true,GET,http://demo.testfire.net/images/spacer.gif,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_about.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_contact.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/cgi.exe,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_investor.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_press.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/index.jsp?content=inside_careers.htm,
true,GET,http://demo.testfire.net/my%20documents/JohnSmith/Bank%20Site%20Documents/subscribe.jsp,
true,GET,http://demo.testfire.net/default.jsp,
true,GET,http://demo.testfire.net/security.htm,
false,GET,http://www.watchfire.com/statements/terms.aspx,Out of Scope
true,GET,http://demo.testfire.net/images/altoro.gif,
false,GET,http://www.exampledomainnotinuse.org/mybeacon.gif,Out of Scope
true,GET,http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=ExecutiveAssistant:Administration,
true,GET,http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=Teller:ConsumaerBanking,
true,GET,http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=CustomerServiceRepresentative:CustomerService,
true,GET,http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=LoyaltyMarketingProgramManager:Marketing,
true,GET,http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=OperationalRiskManager:RiskManagement,
true,GET,http://demo.testfire.net/index.jsp?content=inside_jobs.htm&job=MortgageLendingAccountExecutive:Sales,
true,GET,http://demo.testfire.net/static/index.jsp?content=personal.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=personal_deposit.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=personal_checking.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=personal_loans.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=personal_cards.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=personal_investments.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=personal_other.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=business.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=business_deposit.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=business_lending.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=business_cards.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=business_insurance.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=business_retirement.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=personal.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=business_other.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=inside.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=personal_deposit.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=inside_about.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=personal_checking.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=inside_contact.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=personal_loans.htm,
true,GET,http://demo.testfire.net/static/cgi.exe,
true,GET,http://demo.testfire.net/images/index.jsp?content=personal_cards.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=inside_investor.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=personal_investments.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=inside_press.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=personal_other.htm,
true,GET,http://demo.testfire.net/static/index.jsp?content=inside_careers.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=business.htm,
true,GET,http://demo.testfire.net/static/subscribe.jsp,
true,GET,http://demo.testfire.net/images/index.jsp?content=business_deposit.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=business_lending.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=business_cards.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=business_insurance.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=business_retirement.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=business_other.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=inside.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=inside_about.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=inside_contact.htm,
true,GET,http://demo.testfire.net/images/cgi.exe,
true,GET,http://demo.testfire.net/images/index.jsp?content=inside_investor.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=inside_press.htm,
true,GET,http://demo.testfire.net/images/index.jsp?content=inside_careers.htm,
true,GET,http://demo.testfire.net/images/subscribe.jsp,
true,GET,http://demo.testfire.net/survey_questions.jsp?step=b,
true,GET,http://demo.testfire.net/Documents/JohnSmith/VoluteeringInformation.pdf,
false,GET,http://www.w3.org/2000/svg,Out of Scope
false,GET,http://facebook.github.io/react/docs/error-decoder.html?invariant,Out of Scope
false,GET,http://feross.org/,Out of Scope
true,GET,http://demo.testfire.net/survey_questions.jsp?step=c,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_deposit.htm,
false,GET,http://fb.me/use-check-prop-types,Out of Scope
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_checking.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_loans.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_cards.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_investments.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=personal_other.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_deposit.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_lending.htm,
false,GET,https://petstore.swagger.io/v2/swagger.json,Out of Scope
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_cards.htm,
false,GET,https://online.swagger.io/validator,Out of Scope
false,GET,http://localhost:3200/oauth2-redirect.html,Out of Scope
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_insurance.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_retirement.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=business_other.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_about.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_contact.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/cgi.exe,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_investor.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_press.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/index.jsp?content=inside_careers.htm,
true,GET,http://demo.testfire.net/Documents/JohnSmith/subscribe.jsp,
true,GET,http://demo.testfire.net/survey_questions.jsp?step=d,
false,GET,http://jedwatson.github.io/classnames,Out of Scope
false,GET,http://www.w3.org/1999/xhtml,Out of Scope
false,GET,http://www.w3.org/1998/Math/MathML,Out of Scope
false,GET,https://github.com/Starcounter-Jack/JSON-Patch,Out of Scope
false,GET,http://www.w3.org/1999/xlink,Out of Scope
false,GET,http://www.w3.org/XML/1998/namespace,Out of Scope
false,GET,https://mths.be/punycode,Out of Scope
false,GET,https://github.com/jonschlinkert/repeat-string,Out of Scope
false,GET,http://www.opensource.org/licenses/mit-license.php,Out of Scope
